employee_id,first_name,last_name,gender,email,phone_number,address,job_id,department_id,hire_date,salary,manager_id
5739876338,Lyman,Bulmer,Male,lbulmer0@bloglines.com,1576440758,01928 Bayside Pass,1090,111,9/7/2022,"$5,117.50 ",8714651106
6868038569,Van,Kuban,Male,vkuban1@geocities.com,7618091396,16541 Oriole Terrace,1112,115,12/5/2020,"$10,978.56 ",5154814711
7281963971,Maurizia,Pala,Female,mpala2@joomla.org,9173016589,41 Loeprich Terrace,1048,122,2/23/2023,"$12,937.91 ",3090593556
8101011595,Brendan,Boggish,Male,bboggish3@xinhuanet.com,7525178737,361 Washington Trail,1090,115,5/11/2017,"$7,349.32 ",8304321270
8368540879,Merline,Whistance,Female,mwhistance4@nifty.com,2539727115,6779 Marcy Trail,1016,130,1/25/2011,"$10,888.96 ",1990409245
8689206507,Lorne,Ummfrey,Female,lummfrey5@tiny.cc,9076660332,020 Goodland Street,1076,120,7/4/2018,"$8,444.76 ",2293518949
7657748540,Zared,Ferrari,Male,zferrari6@army.mil,2781462183,0 Carpenter Pass,1062,120,8/30/2011,"$7,734.85 ",3948556083
4274055604,Jaymie,Smead,Male,jsmead7@slideshare.net,1286376902,2 Barnett Point,1115,116,4/26/2012,"$12,670.17 ",2230770519
7189871632,Alex,Achrameev,Female,aachrameev8@opensource.org,3839250277,0 Veith Terrace,1053,115,5/6/2021,"$6,863.38 ",4409678507
7739121002,Jessalyn,Lamzed,Female,jlamzed9@sciencedirect.com,3932581719,51274 Fremont Road,1048,122,2/5/2019,"$11,747.31 ",7620917047
3608934278,Robbie,Stemp,Male,rstempa@eventbrite.com,1722766647,1708 Buell Pass,1043,126,8/25/2017,"$9,343.17 ",4209850527
2880617979,Truman,Birdfield,Male,tbirdfieldb@ycombinator.com,6162206567,21829 Londonderry Avenue,1112,121,1/12/2011,"$6,910.29 ",9628697676
33251002,Neil,Rowan,Male,nrowanc@bigcartel.com,1519772392,30 Amoth Circle,1111,120,5/14/2020,"$11,634.41 ",1746218630
4898654169,Sheffield,Ayscough,Male,sayscoughd@barnesandnoble.com,2498450905,26 Shoshone Circle,1043,121,12/15/2014,"$7,991.16 ",3136509838
1237968747,Mickie,Scott,Male,mscotte@hexun.com,8898640166,67776 Susan Road,1107,123,4/26/2012,"$6,381.65 ",4978194857
